n,Iterative,Recursive
1266,9836,108624
1267,9409,108624
1268,9836,108196
1269,9408,104776
1270,9408,108197
1271,9408,104775
1272,9836,122309
1273,9836,104776
1274,9836,105203
1275,9836,104348
1276,9836,107342
1277,9836,105203
1278,9836,103920
1279,9408,104775
1280,9836,104775
1281,9836,105203
1282,9836,104775
1283,9836,105630
1284,9836,105203
1285,10263,105203
1286,9836,105203
1287,9836,105631
1288,9836,106486
1289,9836,311333
1290,9836,106914
1291,9837,106058
1292,9409,106058
1293,9836,109479
1294,9836,106058
1295,9836,106059
1296,9836,106486
1297,9836,106059
1298,9836,106914
1299,9836,109052
1300,9836,106486
1301,9409,106486
1302,9836,106486
1303,9836,106914
1304,9409,106913
1305,9836,109052
1306,10691,125303
1307,9836,113328
1308,9836,107341
1309,9836,108197
1310,9836,157376
1311,10264,104347
1312,9836,106058
1313,9836,107341
1314,10264,108196
1315,10263,516606
1316,9836,112901
1317,10263,108196
1318,10263,109052
1319,10264,112045
1320,9836,108196
1321,10264,108625
1322,10264,109052
1323,9836,126586
1324,10264,108624
1325,10263,112045
1326,9836,109052
1327,10264,108624
1328,9837,109052
1329,9836,109479
1330,9836,109052
1331,10264,111618
1332,9836,109480
1333,9836,110335
1334,10264,109907
1335,9836,109907
1336,9836,109907
1337,9837,112901
1338,9836,114611
1339,10264,144119
1340,10692,151818
1341,9837,135994
1342,10264,138132
1343,9836,110335
1344,10264,109907
1345,10263,110335
1346,10264,110335
1347,9836,110335
1348,9836,113328
1349,10264,110762
1350,10263,110762
1351,9836,111618
1352,9836,110762
1353,10264,110762
1354,10264,4142262
1355,20527,138133
1356,12829,134711
1357,15823,178760
1358,10264,138560
1359,17106,153528
1360,10263,114183
1361,10691,125730
1362,9836,103065
1363,10264,113756
1364,9836,117605
1365,9836,117178
1366,9836,116750
1367,9836,115039
1368,9837,112473
1369,9836,119315
1370,9836,113756
1371,10263,313471
1372,10264,109480
1373,9836,116749
1374,11546,130862
1375,10264,112473
1376,10692,116323
1377,11119,114611
1378,10263,111190
1379,10691,120599
1380,10692,163364
1381,10691,117177
1382,10691,118888
1383,10692,174483
1384,10691,122737
1385,10692,121026
1386,10692,126586
1387,10264,107341
1388,12402,110762
1389,10264,118888
1390,10692,120171
1391,10692,144547
1392,10692,116749
1393,11119,131290
1394,10264,124876
1395,10691,115039
1396,10264,1398430
1397,10691,115467
1398,10263,124448
1399,10691,125731
1400,10263,116750
1401,11119,121454
1402,11119,126586
1403,10692,126585
1404,10264,178332
1405,10692,131290
1406,10691,130862
1407,10692,130007
1408,10691,146258
1409,11119,171917
1410,11974,122309
1411,10692,121454
